feature,importance
volatility_ratio,0.05637700702387964
volatility_20_lag_5,0.05042380050094346
close_to_sma50,0.04898077414401958
close_to_support,0.04582447229555943
macd_hist,0.04479733733228678
momentum_10,0.0438429701500498
momentum_20,0.039843527693388496
volatility_20_lag_3,0.038431647236345005
volume_ratio_lag_1,0.037694523361888964
volatility_20_lag_2,0.03654720381810465
volatility_20_lag_1,0.03585561179218834
close_to_sma20,0.0351126564986441
bb_percent,0.03251429394332571
returns_lag_2,0.03202818322900623
volatility_20,0.029036823420781437
rsi,0.028862991139953727
macd,0.028520344895558873
high_low_spread,0.028449363477880303
macd_signal,0.028417281931645746
momentum_5,0.027596872993009412
volume_ratio_lag_5,0.02632058930254106
volume_ratio,0.025936545363937445
volume_ratio_lag_2,0.025011854197135832
returns_lag_1,0.02469179798801964
volume_ratio_lag_3,0.02369613381304546
log_returns,0.0229760295504375
close_to_resistance,0.022478569936453474
returns_lag_3,0.021183306001427153
close_to_high,0.019843505813451328
returns,0.019722257435680512
returns_lag_5,0.018981723719411082
